"","business_id","name","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open","attributes","categories","hours"
"1","3BJxm-HnvzdwD1zjmSbmyQ","Golden Chopstick Chinese Restaurant","1800 Spring Garden St","Philadelphia","PA","19130",39.963077709,-75.1680274529,3,137,1,"{'GoodForKids': 'True', 'RestaurantsDelivery': 'True', 'Alcohol': ""u'none'"", 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'False', 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'HasTV': 'True', 'RestaurantsAttire': ""'casual'"", 'NoiseLevel': ""u'average'"", 'HappyHour': 'False', 'DogsAllowed': 'False', 'WheelchairAccessible': 'True', 'WiFi': ""u'free'"", 'RestaurantsReservations': 'True', 'BusinessAcceptsBitcoin': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': None, 'brunch': False, 'breakfast': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': None, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': None}"", 'RestaurantsTableService': 'True', 'Caters': 'True'}","Restaurants, Chinese","{'Monday': '0:0-0:0', 'Tuesday': '11:0-22:30', 'Wednesday': '11:0-22:30', 'Thursday': '11:0-22:30', 'Friday': '11:0-22:30', 'Saturday': '11:0-22:30', 'Sunday': '12:0-22:30'}"
"2","bqmX882_6AxVA_uHEQ70sQ","Shanghai Station","4002 Spruce St","Philadelphia","PA","19104",39.9516153765,-75.2033457223,4,46,0,"{'Caters': 'False', 'BikeParking': 'False', 'RestaurantsAttire': ""'casual'"", 'BusinessAcceptsCreditCards': 'True', 'DogsAllowed': 'False', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsBitcoin': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Smoking': ""u'no'"", 'WiFi': ""u'free'"", 'CoatCheck': 'False', 'HasTV': 'True', 'WheelchairAccessible': 'False', 'GoodForKids': 'True', 'RestaurantsTableService': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Music': ""{'karaoke': True}"", 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'True', 'GoodForDancing': 'False', 'RestaurantsGoodForGroups': 'True', 'NoiseLevel': ""'average'"", 'HappyHour': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", 'RestaurantsDelivery': 'False', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}"", 'OutdoorSeating': 'False', 'Alcohol': ""u'full_bar'""}","Shanghainese, Restaurants, Sushi Bars, Szechuan, Sports Bars, Lounges, Asian Fusion, Thai, Karaoke, Chinese, Nightlife, Bars",NA
"3","V5KiEoH4E86GA2S3RQkf1g","Spice Grill","3447-61 Richmond St","Philadelphia","PA","19134",39.9862724,-75.094699,3.5,12,1,"{'GoodForKids': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery': 'True', 'RestaurantsPriceRange2': '1', 'Alcohol': ""u'none'"", 'OutdoorSeating': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'RestaurantsAttire': ""'casual'"", 'NoiseLevel': ""u'quiet'"", 'HasTV': 'True', 'BikeParking': 'True', 'WiFi': ""u'no'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'False', 'RestaurantsTableService': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True'}","Restaurants, Chinese, Asian Fusion","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}"
"4","MMRRS6YhVRx_iN5-JhMRYg","Han Dynasty","3711 Market St","Philadelphia","PA","19104",39.9567105161,-75.1971027811,4,783,1,"{'BikeParking': 'True', 'Caters': 'True', 'HappyHour': 'True', 'WiFi': ""u'no'"", 'GoodForKids': 'True', 'RestaurantsReservations': 'True', 'RestaurantsAttire': ""u'casual'"", 'BusinessAcceptsCreditCards': 'True', 'DogsAllowed': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'Alcohol': ""u'full_bar'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'OutdoorSeating': 'None', 'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'True', 'HasTV': 'True', 'NoiseLevel': ""u'average'"", 'BusinessParking': ""{'garage': True, 'street': True, 'validated': True, 'lot': True, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'RestaurantsDelivery': 'True'}","Restaurants, Chinese, Szechuan","{'Monday': '11:30-21:0', 'Tuesday': '11:30-21:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-21:0', 'Friday': '11:30-21:30', 'Saturday': '11:30-21:30', 'Sunday': '11:30-21:0'}"
"5","icp_IKE9zIkAqAucyS1vTA","Hakka Beef House","927 Race St","Philadelphia","PA","19107",39.9554945,-75.1552563,4.5,33,0,"{'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'OutdoorSeating': 'False', 'RestaurantsDelivery': 'True', 'GoodForKids': 'True', 'WiFi': ""'free'"", 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'True', 'RestaurantsGoodForGroups': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'Alcohol': ""'none'""}","Restaurants, Chinese","{'Monday': '11:0-22:30', 'Tuesday': '11:0-22:30', 'Wednesday': '11:0-22:30', 'Thursday': '11:0-22:30', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-22:30'}"
"6","n6dw_zxL_4cVO6EP_m0joQ","Dragon House","1228 Chestnut St","Philadelphia","PA","19107",39.9503586,-75.1615836,4,5,1,NA,"Restaurants, Chinese",NA
"7","Zk_GdMMPgEfKUECCxAxvwQ","Pho Nam Giang","427 Franklin Mills Cir","Philadelphia","PA","19154",40.0860776,-74.9648083509,4.5,23,1,"{'OutdoorSeating': 'False', 'BusinessParking': ""{u'valet': False, u'garage': None, u'street': True, u'lot': None, u'validated': False}"", 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2', 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'Caters': 'False', 'RestaurantsDelivery': 'True', 'Ambience': ""{u'divey': False, u'hipster': None, u'casual': None, u'touristy': False, u'trendy': False, u'intimate': None, u'romantic': None, u'classy': False, u'upscale': False}"", 'DogsAllowed': 'False', 'HasTV': 'False', 'Alcohol': ""u'none'""}","Chinese, Restaurants, Vietnamese, Asian Fusion","{'Monday': '11:30-21:30', 'Tuesday': '11:30-21:30', 'Wednesday': '11:30-21:30', 'Thursday': '11:30-21:30', 'Friday': '11:30-21:30', 'Saturday': '11:30-21:30', 'Sunday': '11:30-21:30'}"
"8","sfbg2kxnvKpmlIuCUas5TA","Lucky Wok Restaurant","5431 N 5th St","Philadelphia","PA","19120",40.0342865,-75.1307075,2.5,6,1,"{'Alcohol': ""u'none'"", 'OutdoorSeating': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'NoiseLevel': ""u'quiet'"", 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'False', 'RestaurantsGoodForGroups': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'False', 'GoodForKids': 'False', 'RestaurantsDelivery': 'False', 'RestaurantsAttire': ""u'casual'"", 'BikeParking': 'False', 'WiFi': ""u'no'"", 'HasTV': 'True'}","Restaurants, Chinese",NA
"9","aZNiVR6oAMQX5__yGPvYsg","Susanna Foo Chinese Cuisine","1512 Walnut St","Philadelphia","PA","19102",39.9493255,-75.1667043,3.5,26,0,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'True', 'RestaurantsPriceRange2': '3', 'RestaurantsAttire': ""'dressy'"", 'GoodForKids': 'False', 'OutdoorSeating': 'False', 'RestaurantsTakeOut': 'False', 'RestaurantsDelivery': 'False', 'Alcohol': ""'full_bar'"", 'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}","Chinese, Restaurants",NA
"10","mCo2uVTTGYrEhRrkQW-CMw","Empress Garden","108 N 10th St","Philadelphia","PA","19107",39.9539403,-75.1563093,4,263,0,"{'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'HasTV': 'False', 'Alcohol': ""u'none'"", 'RestaurantsReservations': 'False', 'BikeParking': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'no'"", 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'Caters': 'False', 'RestaurantsTableService': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'NoiseLevel': ""u'average'"", 'RestaurantsDelivery': 'None'}","Taiwanese, Chinese, Noodles, Restaurants","{'Monday': '11:0-21:45', 'Tuesday': '11:0-21:45', 'Wednesday': '11:0-21:45', 'Thursday': '11:0-21:45', 'Friday': '11:0-22:30', 'Saturday': '11:0-22:30', 'Sunday': '11:0-21:45'}"
